iter	Logloss
0	0.5809879881
1	0.5071857231
2	0.4595532557
3	0.4278503971
4	0.4048472356
5	0.3871615511
6	0.3737150272
7	0.3649098474
8	0.357831726
9	0.3517705232
10	0.3470353328
11	0.3440096229
12	0.3403354874
13	0.3370585368
14	0.3341301912
15	0.3312581663
16	0.3291622656
17	0.3274113717
18	0.3256117167
19	0.3239932598
20	0.3224634922
21	0.3213429139
22	0.3200952595
23	0.3186930483
24	0.3175732329
25	0.3164716655
26	0.3158103824
27	0.3148326228
28	0.3135068103
29	0.3125329302
30	0.3112934583
31	0.3100802638
32	0.3092899601
33	0.3078523145
34	0.3068186445
35	0.3061337391
36	0.3051960031
37	0.3043453124
38	0.3036091958
39	0.3028100821
40	0.3015015903
41	0.3007840712
42	0.3001410623
43	0.2994774975
44	0.2985418672
45	0.2978351791
46	0.297353763
47	0.2967482746
48	0.2962650772
49	0.2957542615
50	0.2950136181
51	0.2945214151
52	0.2938245032
53	0.2933979045
54	0.2926229979
55	0.2921995329
56	0.2914889937
57	0.2910303691
58	0.2905991163
59	0.2899365402
60	0.2895909504
61	0.2886266303
62	0.2880920712
63	0.2874863018
64	0.2866483307
65	0.2862156707
66	0.2853183183
67	0.2844965365
68	0.2839366223
69	0.2834598319
70	0.2829181945
71	0.282269284
72	0.2816690188
73	0.2811106792
74	0.2800327311
75	0.2795283658
76	0.2788090796
77	0.2782512349
78	0.2777421371
79	0.2769066656
80	0.2762113605
81	0.2755926603
82	0.2752649941
83	0.2741896222
84	0.2733477677
85	0.2725877351
86	0.2719594722
87	0.2715829382
88	0.2710538038
89	0.270663605
90	0.2701977145
91	0.2694701747
92	0.2688185015
93	0.2680330506
94	0.2675234535
95	0.2670449069
96	0.2665475948
97	0.2657821061
98	0.2651636513
99	0.2643005281
100	0.2638421774
101	0.2632290673
102	0.2628668167
103	0.2623125449
104	0.2615223355
105	0.2608146031
106	0.2602630689
107	0.2598149406
108	0.2594141003
109	0.25866332
110	0.2581207315
111	0.2576329533
112	0.257321891
113	0.2569564207
114	0.2564458845
115	0.2559211851
116	0.2553525127
117	0.2547865596
118	0.2543251566
119	0.2539797362
120	0.2535577542
121	0.253103506
122	0.2525624252
123	0.2521367544
124	0.2517275709
125	0.2513504536
126	0.2508251267
127	0.2505296597
128	0.2499875073
129	0.2495771501
130	0.249001003
131	0.2486419568
132	0.2481423035
133	0.2477389386
134	0.2473587483
135	0.2468187786
136	0.2464635586
137	0.245897225
138	0.2454604545
139	0.2451972001
140	0.2451746157
141	0.2448892615
142	0.2446138179
143	0.244204769
144	0.2439960793
145	0.2434467503
146	0.2430063545
147	0.2425800816
148	0.2421323506
149	0.2417048171
150	0.2411687767
151	0.2407438636
152	0.2404801332
153	0.2402205154
154	0.2398528959
155	0.239507746
156	0.239119308
157	0.2387493087
158	0.2382391854
159	0.2380406939
160	0.2377814616
161	0.2372678842
162	0.2369383277
163	0.2365081925
164	0.2361972888
165	0.2358247538
166	0.2353699216
167	0.2347703235
168	0.2341954061
169	0.2339729854
170	0.2335018411
171	0.2330123296
172	0.2326890858
173	0.2323980841
174	0.2318479627
175	0.231444856
176	0.2309914692
177	0.2307704562
178	0.230364572
179	0.2299377967
180	0.2295421943
181	0.2293100465
182	0.2290321892
183	0.2286619393
184	0.2283481615
185	0.2280194411
186	0.2274831437
187	0.2273262542
188	0.2269991111
189	0.2264639286
190	0.2260481456
191	0.2257100946
192	0.225706493
193	0.2253726378
194	0.2250167425
195	0.2246825115
196	0.2242401933
197	0.2239630379
198	0.2235955665
199	0.2232757302
200	0.2228103257
201	0.222428671
202	0.2221096465
203	0.2217185777
204	0.2215537651
205	0.2211357281
206	0.2207951622
207	0.2203428016
208	0.2199772881
209	0.219545786
210	0.2191123581
211	0.2187504888
212	0.218440859
213	0.2181409558
214	0.2177703991
215	0.2173648688
216	0.217011227
217	0.2167413909
218	0.2163661306
219	0.2159581424
220	0.2158598843
221	0.2154733886
222	0.2151300638
223	0.2149093119
224	0.2146283916
225	0.2142788971
226	0.2139597468
227	0.213730321
228	0.2133909943
229	0.2130582699
230	0.2127584498
231	0.2126304733
232	0.2123886291
233	0.2121532405
234	0.2118081435
235	0.2113834419
236	0.2111511335
237	0.2106706743
238	0.2102264138
239	0.2099215685
240	0.2097162009
241	0.2094574743
242	0.2091456035
243	0.2088078929
244	0.2086431682
245	0.2083102724
246	0.2079073137
247	0.2075307427
248	0.2071658651
249	0.2067463785
250	0.2065197926
251	0.2061618496
252	0.2057223913
253	0.2053640491
254	0.205111906
255	0.20476251
256	0.2044601905
257	0.2041153357
258	0.2037807334
259	0.2035368955
260	0.2032191283
261	0.2030073488
262	0.2026363682
263	0.2023312309
264	0.2020663481
265	0.2018556319
266	0.2016138515
267	0.2013017923
268	0.201103017
269	0.2008251124
270	0.2006972415
271	0.2002918122
272	0.1999728541
273	0.1997241346
274	0.1994173272
275	0.1992025445
276	0.1991255259
277	0.198724058
278	0.1984669257
279	0.198279395
280	0.1981434538
281	0.1977948179
282	0.1975836161
283	0.1973601042
284	0.1973418479
285	0.1970316912
286	0.1967547017
287	0.1964005531
288	0.1961557535
289	0.1958636703
290	0.1955482764
291	0.1952365803
292	0.1949453468
293	0.194710594
294	0.1944622615
295	0.1942152204
296	0.1938086508
297	0.1935893534
298	0.1932406056
299	0.1929482806
